Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2021-03-18,0.95,Packed,2.0,150
2021-03-18,0.95,Packed,1.0,150
2021-03-18,0.95,Packed,2.0,150
2021-03-17,0.95,Packed,1.0,153
2021-03-17,0.95,Packed,1.0,153
2021-03-17,0.95,Packed,2.0,153
2021-03-17,0.95,Packed,1.0,153
2021-03-16,0.99,Packed,3.0,157
2021-03-15,0.99,Packed,1.0,158
2021-03-15,0.99,Packed,1.0,158
2021-03-14,0.9,Packed,4.0,160
2021-03-13,0.93,Packed,5.0,161
2021-03-11,0.8,Packed,1.0,162
2021-03-10,0.83,Packed,5.0,163
2021-03-09,0.78,Packed,5.0,164
2021-03-09,0.78,Packed,5.0,164
2021-03-09,0.78,Packed,1.0,164
2021-03-08,0.87,Packed,1.0,167
2021-03-07,0.95,Packed,5.0,168
2021-03-03,0.36,Quiet,5.0,169
2021-03-02,0.49,Quiet,5.0,170
2021-03-02,0.49,Quiet,4.0,170
2021-03-01,0.38,Quiet,4.0,172
2021-03-01,0.38,Quiet,3.0,172
2021-02-28,0.77,Packed,5.0,174
2021-02-27,0.96,Packed,5.0,175
2021-02-23,0.73,Busy,4.0,176
2021-02-22,0.55,Busy,1.0,177
2021-02-21,0.91,Packed,5.0,178
2021-02-21,0.91,Packed,5.0,178
2021-02-19,0.58,Busy,3.0,180
2021-02-19,0.58,Busy,4.0,180
2021-02-18,0.82,Packed,1.0,182
2021-02-18,0.82,Packed,5.0,182
2021-02-18,0.82,Packed,2.0,182
2021-02-17,0.67,Busy,5.0,185
2021-02-17,0.67,Busy,1.0,185
2021-02-17,0.67,Busy,1.0,185
2021-02-16,0.94,Packed,5.0,188
2021-02-16,0.94,Packed,1.0,188
2021-02-13,0.98,Packed,1.0,190
2021-02-11,0.46,Quiet,3.0,191
2021-02-10,0.41,Quiet,5.0,192
2021-02-10,0.41,Quiet,3.0,192
2021-02-10,0.41,Quiet,5.0,192
2021-02-08,0.32,Quiet,2.0,195
2021-02-07,0.37,Quiet,1.0,196
2021-02-07,0.37,Quiet,1.0,196
2021-02-06,0.87,Packed,5.0,198
2021-02-05,0.33,Quiet,3.0,199
2021-02-03,0.23,Empty,2.0,200
2021-02-02,0.19,Empty,5.0,201
2021-01-30,0.93,Packed,5.0,202
2021-01-30,0.93,Packed,5.0,202
2021-01-30,0.93,Packed,1.0,202
2021-01-29,0.57,Busy,1.0,205
2021-01-28,0.26,Quiet,4.0,206
2021-01-28,0.26,Quiet,4.0,206
2021-01-27,0.17,Empty,1.0,208
2021-01-25,0.25,Quiet,2.0,209
2021-01-23,0.8,Packed,5.0,210
2021-01-23,0.8,Packed,5.0,210
2021-01-21,0.06,Empty,5.0,212
2021-01-21,0.06,Empty,5.0,212
2021-01-20,0.15,Empty,4.0,214
2021-01-19,0.22,Empty,2.0,215
2021-01-18,0.77,Packed,5.0,216
2021-01-17,0.97,Packed,5.0,217
2021-01-16,0.98,Packed,5.0,218
2021-01-16,0.98,Packed,1.0,218
2021-01-16,0.98,Packed,5.0,218
2021-01-16,0.98,Packed,5.0,218
2021-01-14,0.36,Quiet,1.0,222
2021-01-13,0.18,Empty,4.0,223
2021-01-13,0.18,Empty,2.0,223
2021-01-12,0.17,Empty,4.0,225
2021-01-12,0.17,Empty,5.0,225
2021-01-11,0.14,Empty,2.0,227
2021-01-10,0.58,Busy,3.0,228
2021-01-10,0.58,Busy,3.0,228
2021-01-09,0.86,Packed,5.0,230
2021-01-09,0.86,Packed,4.0,230
2021-01-09,0.86,Packed,3.0,230
2021-01-07,0.54,Busy,3.0,233
2021-01-07,0.54,Busy,5.0,233
2021-01-06,0.65,Busy,5.0,235
2021-01-06,0.65,Busy,5.0,235
2021-01-04,0.92,Packed,5.0,237
2021-01-04,0.92,Packed,5.0,237
2021-01-04,0.92,Packed,1.0,237
