Date,crowd_level,crowd_status,User_satisfaction,Original_row_index
2018-07-28,0.53,Busy,2.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-28,0.53,Busy,5.0,5121
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,4.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-27,0.64,Busy,5.0,5133
2018-07-26,0.73,Busy,2.0,5143
2018-07-26,0.73,Busy,4.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,3.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,1.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-26,0.73,Busy,5.0,5143
2018-07-25,0.73,Busy,1.0,5154
2018-07-25,0.73,Busy,5.0,5154
2018-07-25,0.73,Busy,5.0,5154
2018-07-25,0.73,Busy,5.0,5154
2018-07-25,0.73,Busy,3.0,5154
2018-07-25,0.73,Busy,5.0,5154
2018-07-25,0.73,Busy,5.0,5154
2018-07-24,0.72,Busy,3.0,5161
2018-07-24,0.72,Busy,3.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-24,0.72,Busy,4.0,5161
2018-07-24,0.72,Busy,3.0,5161
2018-07-24,0.72,Busy,4.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-24,0.72,Busy,4.0,5161
2018-07-24,0.72,Busy,4.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-24,0.72,Busy,5.0,5161
2018-07-23,0.72,Busy,4.0,5174
2018-07-23,0.72,Busy,4.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,3.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,4.0,5174
2018-07-23,0.72,Busy,3.0,5174
2018-07-23,0.72,Busy,2.0,5174
2018-07-23,0.72,Busy,4.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,3.0,5174
2018-07-23,0.72,Busy,5.0,5174
2018-07-23,0.72,Busy,1.0,5174
2018-07-22,0.44,Quiet,4.0,5191
2018-07-22,0.44,Quiet,4.0,5191
2018-07-22,0.44,Quiet,4.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,1.0,5191
2018-07-22,0.44,Quiet,3.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-22,0.44,Quiet,5.0,5191
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,4.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,4.0,5208
2018-07-21,0.53,Busy,4.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,3.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-21,0.53,Busy,5.0,5208
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,4.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-20,0.64,Busy,5.0,5223
2018-07-19,0.6,Busy,3.0,5231
2018-07-19,0.6,Busy,4.0,5231
2018-07-19,0.6,Busy,4.0,5231
2018-07-19,0.6,Busy,5.0,5231
2018-07-19,0.6,Busy,5.0,5231
2018-07-19,0.6,Busy,5.0,5231
2018-07-19,0.6,Busy,4.0,5231
2018-07-19,0.6,Busy,5.0,5231
2018-07-19,0.6,Busy,4.0,5231
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,4.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,5.0,5240
2018-07-18,0.48,Quiet,4.0,5240
2018-07-17,0.41,Quiet,5.0,5253
2018-07-17,0.41,Quiet,2.0,5253
2018-07-17,0.41,Quiet,2.0,5253
2018-07-17,0.41,Quiet,3.0,5253
2018-07-17,0.41,Quiet,5.0,5253
2018-07-17,0.41,Quiet,5.0,5253
2018-07-17,0.41,Quiet,4.0,5253
2018-07-17,0.41,Quiet,5.0,5253
2018-07-17,0.41,Quiet,3.0,5253
2018-07-17,0.41,Quiet,5.0,5253
2018-07-17,0.41,Quiet,2.0,5253
2018-07-17,0.41,Quiet,4.0,5253
2018-07-17,0.41,Quiet,3.0,5253
2018-07-17,0.41,Quiet,2.0,5253
2018-07-17,0.41,Quiet,3.0,5253
2018-07-17,0.41,Quiet,4.0,5253
2018-07-17,0.41,Quiet,4.0,5253
2018-07-16,0.45,Quiet,4.0,5270
2018-07-16,0.45,Quiet,1.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-16,0.45,Quiet,5.0,5270
2018-07-15,0.42,Quiet,4.0,5278
2018-07-15,0.42,Quiet,4.0,5278
2018-07-15,0.42,Quiet,4.0,5278
